unit,code,kpi,target_type,month,plan_value
VNPT PLG,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202601,1584
VNPT PLG,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202602,1426
VNPT PLG,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202603,1584
VNPT PLG,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202604,1589
VNPT PLG,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202605,1589
VNPT PLG,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202606,1589
VNPT PLG,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202601,80
VNPT PLG,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202602,80
VNPT PLG,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202603,80
VNPT PLG,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202604,80
VNPT PLG,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202605,80
VNPT PLG,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202606,80
VNPT TTH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202601,741.5
VNPT TTH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202602,741.8
VNPT TTH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202603,988.8
VNPT TTH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202604,890
VNPT TTH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202605,939.5
VNPT TTH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202606,939.3
VNPT TTH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202601,542.3
VNPT TTH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202602,484.6
VNPT TTH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202603,542.3
VNPT TTH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202604,575.9
